PID,fgs_label_s
islandora:8423,smith_ssc_324_b1011_f012_015_p001
islandora:8665,smith_ssc_324_b1012_f004_033_p002
islandora:7470,smith_ssc_324_b1009_f011_015_p001
islandora:27400,smith_ssc_324_b1037_f020_007_p001
islandora:8981,smith_ssc_324_b1012_f009_005_p001
islandora:15468,smith_ssc_324_b1020_f004_016_p001
islandora:10381,smith_ssc_324_b1014_f008_029_p002
islandora:23038,smith_ssc_324_b1031_f021_046_p001
islandora:16378,smith_ssc_324_b1021_f009_019_p001
islandora:8661,smith_ssc_324_b1012_f004_031_p002
islandora:21096,smith_ssc_324_b1029_f010_032_p001
islandora:3195,smith_ssc_324_b1005_f003_023_p001
islandora:25299,smith_ssc_324_b1036_f024_008_p001
islandora:2964,smith_ssc_324_b1004_f010_062_p001
islandora:25215,smith_ssc_324_b1036_f019_004_p001
islandora:24770,smith_ssc_324_b1035_f008_006_p002
islandora:15049,smith_ssc_324_b1019_f006_004_p002
islandora:7603,smith_ssc_324_b1010_f004_002_p001
islandora:4203,smith_ssc_324_b1006_f001_010_p002
islandora:4858,smith_ssc_324_b1006_f012_015_p002
islandora:10780,smith_ssc_324_b1015_f003_029_p002
islandora:3093,smith_ssc_324_b1005_f001_042_p002
islandora:29264,smith_ssc_324_r018_m006_test
islandora:6959,smith_ssc_324_b1008_f009_022_p002
islandora:23597,smith_ssc_324_b1032_f011_005_p001
islandora:4189,smith_ssc_324_b1006_f001_003_p002
islandora:9323,smith_ssc_324_b1013_f004_007_p001
islandora:2529,smith_ssc_324_b1004_f003_004_p001
islandora:28434,smith_ssc_324_b1039_f015_020_p001
islandora:2954,smith_ssc_324_b1004_f010_057_p001
islandora:1181,smith_ssc_324_b1002_f002_006_p001
islandora:2051,smith_ssc_324_r142_m001_046
islandora:23257,smith_ssc_324_b1032_f003_056_p002
islandora:27422,smith_ssc_324_b1037_f020_018_p001
islandora:27847,smith_ssc_324_b1038_f023_012_p002
islandora:2696,smith_ssc_324_b1004_f007_001_p002
islandora:28416,smith_ssc_324_b1039_f015_011_p001
islandora:5289,smith_ssc_324_b1007_f006_033_p001
islandora:26428,smith_ssc_324_b1038_f011_002_p002
islandora:28472,smith_ssc_324_b1039_f016_018_p001
islandora:560,smith_ssc_324_b1001_f003_008_p001
islandora:28346,smith_ssc_324_b1039_f014_003_p001
islandora:12506,smith_ssc_324_b1016_f014_045_p001
islandora:6633,smith_ssc_324_b1008_f003_019_p001
islandora:6656,smith_ssc_324_b1008_f003_030_p002
islandora:546,smith_ssc_324_b1001_f003_001_p001
islandora:29653,smith_ssc_324_b1040_f020_042_p002
islandora:10335,smith_ssc_324_b1014_f008_006_p002
islandora:22663,smith_ssc_324_b1031_f010_032_p001
islandora:8668,smith_ssc_324_b1012_f004_035_p001
islandora:25719,smith_ssc_324_b1037_f009_032_p002
islandora:16317,smith_ssc_324_b1021_f008_018_p002
islandora:6788,smith_ssc_324_b1008_f006_006_p002
islandora:3080,smith_ssc_324_b1005_f001_036_p001
islandora:29623,smith_ssc_324_b1040_f020_025_p002
islandora:8399,smith_ssc_324_b1011_f012_002_p002
islandora:3062,smith_ssc_324_b1005_f001_027_p001
islandora:24270,smith_ssc_324_b1034_f005_001_p002
islandora:21046,smith_ssc_324_b1029_f010_007_p002
islandora:1496,smith_ssc_324_b1002_f011_006_p001
islandora:6818,smith_ssc_324_b1008_f006_022_p001
islandora:15488,smith_ssc_324_b1020_f004_026_p001
islandora:23006,smith_ssc_324_b1031_f021_026_p001
islandora:15245,smith_ssc_324_b1019_f012_020_p001
islandora:13123,smith_ssc_324_b1018_f004_007_p002
islandora:28418,smith_ssc_324_b1039_f015_012_p001
islandora:7441,smith_ssc_324_digital_object_218
islandora:28321,smith_ssc_324_digital_object_696
islandora:13034,smith_ssc_324_b1017_f005_014_p002.JPG
islandora:10987,smith_ssc_324_b1015_f008_020_p002
islandora:2956,smith_ssc_324_b1004_f010_058_p001
islandora:15768,smith_ssc_324_b1020_f010_002_p001
islandora:8681,smith_ssc_324_b1012_f004_041_p002
islandora:10757,smith_ssc_324_b1015_f003_018_p001
islandora:12275,smith_ssc_324_b1016_f010_003_p001
islandora:4828,smith_ssc_324_digital_object_191
islandora:9311,smith_ssc_324_digital_object_256
islandora:3269,smith_ssc_324_b1005_f003_060_p001
islandora:3209,smith_ssc_324_b1005_f003_030_p001
islandora:28395,smith_ssc_324_b1039_f014_027_p002
islandora:2461,smith_ssc_324_b1004_f001_016_p002
islandora:8907,smith_ssc_324_b1012_f008_004_p002
islandora:753,smith_ssc_324_b1001_f006_010_p002
islandora:2536,smith_ssc_324_b1004_f003_007_p002
islandora:21067,smith_ssc_324_b1029_f010_017_p002
islandora:29600,smith_ssc_324_b1040_f020_014_p001
islandora:2477,smith_ssc_324_b1004_f001_024_p002
islandora:2760,smith_ssc_324_b1004_f007_033_p002
islandora:5395,smith_ssc_324_b1007_f005_032_p002
islandora:29245,smith_ssc_324_r012_m001_test
islandora:10331,smith_ssc_324_b1014_f008_004_p002
islandora:25665,smith_ssc_324_b1037_f009_005_p001
islandora:6932,smith_ssc_324_b1008_f009_009_p001
islandora:12231,smith_ssc_324_b1016_f009_027_p002
islandora:23110,smith_ssc_324_b1032_f001_025_p002
islandora:25212,smith_ssc_324_b1036_f019_002_p002
islandora:10964,smith_ssc_324_b1015_f008_009_p001
islandora:8902,smith_ssc_324_b1012_f008_002_p001
islandora:9331,smith_ssc_324_b1013_f004_011_p001
islandora:986,smith_ssc_324_b1001_f011_017_p001
islandora:17604,smith_ssc_324_b1023_f010_005_p001
islandora:24713,smith_ssc_324_b1035_f006_003_p002
islandora:8562,smith_ssc_324_b1012_f002_030_p001
islandora:3294,smith_ssc_324_b1005_f003_072_p002
islandora:24279,smith_ssc_324_b1034_f005_006_p001
islandora:3300,smith_ssc_324_b1005_f003_075_p002
islandora:12688,smith_ssc_324_b1017_f008_004_p001
islandora:3038,smith_ssc_324_b1005_f001_014_p001
islandora:14940,smith_ssc_324_b1019_f003_018_p002
islandora:1135,smith_ssc_324_b1001_f015_027_p001
islandora:7461,smith_ssc_324_b1009_f011_010_p002
islandora:7623,smith_ssc_324_b1010_f004_012_p001
islandora:28467,smith_ssc_324_b1039_f016_015_p002
islandora:16238,smith_ssc_324_b1021_f006_004_p001
