ERROR:root:No matching object found .DS_Store
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0034 smith:357795
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0035 smith:357794
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0036 smith:357793
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0037 smith:357792
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0038 smith:357791
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0039 smith:357790
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0040 smith:357789
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0041 smith:357788
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0042 smith:357787
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0043 smith:357786
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0044 smith:357785
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0045 smith:357784
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0046 smith:357783
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0047 smith:357782
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0048 smith:357781
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0049 smith:357780
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0050 smith:357779
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0051 smith:357778
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0052 smith:357777
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0053 smith:357776
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0054 smith:357775
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0055 smith:357774
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0056 smith:357773
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0057 smith:357772
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0058 smith:357771
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0059 smith:357770
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0060 smith:357769
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0061 smith:357768
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0062 smith:357767
INFO:root:One matching object found smith_ssc_324_wp_v016_n010_p0063 smith:357766
